commit,date,features,method,throughput,us_per_step,avg_accept_len
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,Transformer AR,945989,1.06,1.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,DFlash,472035,2.12,8.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,DDTree Build,366950,2.73,0.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,Speculative (Simulated),995625,5.02,5.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,Speculative (AR Draft),1399307,5.00,7.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,Leviathan (Algorithm 1),84941,13.88,1.18
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,Leviathan (no rollback),84110,14.02,1.18
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,Leviathan (w/ rollback),179761,6.54,1.18
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,Spec (unconditioned),1006071,4.97,5.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,Spec (conditioned),1043640,6.46,6.74
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,Prefill (no compress),270917,3.69,64.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,Prefill (compressed),251716,3.97,7.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,DDTree (no chain),368967,2.71,16.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,DDTree (chain-seed),389172,2.57,16.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,DDTree (screened R=1.0),291025,3.44,16.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,DDTree (screened adapter),290655,3.44,16.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,forward (flat),917519,1.09,0.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,forward_paged,844141,1.18,0.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,forward_raven (16 slots),1517248,0.66,0.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,raven_recall (1000 noise, slot 12=9.9→6.3 acc=63%),9946191,0.10,63.21
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,TQ-3bit store+dequant (alloc),1734496,0.58,5.33
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,TQ-3bit store+dequant (zero-alloc),2417375,0.41,5.33
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,PFlash block_select (1024 blocks),1187070,0.84,0.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,Hint-δ compute (64 tok),9680855,0.10,0.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,TemplateProposer,2832400,0.35,0.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,G-Zero Pipeline,2145884,0.47,0.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,Blind Spot Arms (absorb),17160017,0.06,0.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,Blind Spot Arms (bandit),17854497,0.06,0.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,Δ-Absorb relevance,467836257,0.00,0.00
05d0a51,2026-05-15T13:04:10,sparse_mlp+domain_latent+ppot+bandit+g_zero,Δ-Bandit relevance,197433366,0.01,0.00
