commit,date,method,throughput,us_per_step,avg_accept_len
5e2667b,2026-05-13T11:48:19,Transformer AR,1071864,0.93,1.00
5e2667b,2026-05-13T11:48:19,DFlash,520147,1.92,8.00
5e2667b,2026-05-13T11:48:19,DDTree Build,370902,2.70,0.00
5e2667b,2026-05-13T11:48:19,Speculative (Simulated),1046021,4.78,5.00
5e2667b,2026-05-13T11:48:19,Speculative (AR Draft),1485089,4.71,7.00
5e2667b,2026-05-13T11:48:19,Leviathan (Algorithm 1),113286,10.41,1.18
5e2667b,2026-05-13T11:48:19,Leviathan (no rollback),114046,10.34,1.18
5e2667b,2026-05-13T11:48:19,Leviathan (w/ rollback),193272,6.08,1.18
5e2667b,2026-05-13T11:48:19,Spec (unconditioned),1050826,4.76,5.00
5e2667b,2026-05-13T11:48:19,Spec (conditioned),1137802,5.93,6.74
5e2667b,2026-05-13T11:48:19,Prefill (no compress),306633,3.26,64.00
5e2667b,2026-05-13T11:48:19,Prefill (compressed),278479,3.59,7.00
5e2667b,2026-05-13T11:48:19,DDTree (no chain),358888,2.79,16.00
5e2667b,2026-05-13T11:48:19,DDTree (chain-seed),375709,2.66,16.00
5e2667b,2026-05-13T11:48:19,DDTree (screened R=1.0),292642,3.42,16.00
5e2667b,2026-05-13T11:48:19,DDTree (screened adapter),293558,3.41,16.00
5e2667b,2026-05-13T11:48:19,forward (flat),1100791,0.91,0.00
5e2667b,2026-05-13T11:48:19,forward_paged,1012551,0.99,0.00
5e2667b,2026-05-13T11:48:19,forward_raven (16 slots),1714744,0.58,0.00
5e2667b,2026-05-13T11:48:19,raven_recall (1000 noise, slot 12=9.9→6.3 acc=63%),9720535,0.10,63.21
